Total puntos: 2400
Punto 0: (0.37184, 208.935) indice: 0
Punto 140: (138.74, 55.3523) indice: 140
Punto 141: (138.775, 40.0439) indice: 141
Punto 142: (138.799, 196.176) indice: 142
Punto 143: (138.803, 55.8698) indice: 143
Punto 144: (138.825, 63.3845) indice: 144
Punto 145: (138.891, 183.057) indice: 145
Punto 146: (138.973, 162.453) indice: 146
Punto 147: (139.011, 9.37074) indice: 147
Punto 148: (139.037, 53.0848) indice: 148
Punto 149: (139.067, 7.6391) indice: 149
Punto 150: (139.493, 1.63575) indice: 150
Punto 151: (139.537, 54.7895) indice: 151
Punto 152: (139.669, 31.5994) indice: 152
Punto 153: (139.732, 165.529) indice: 153
Punto 154: (139.841, 200.778) indice: 154
Punto 155: (139.985, 202.857) indice: 155
Punto 156: (14.102, 215.723) indice: 156
Punto 157: (14.318, 203.11) indice: 157
Punto 158: (14.4555, 206.379) indice: 158
Punto 159: (140.042, 178.956) indice: 159
Punto 160: (140.063, 180.983) indice: 160
Punto 161: (140.18, 191.531) indice: 161
Punto 162: (140.383, 28.683) indice: 162
Punto 163: (140.432, 295.023) indice: 163
Punto 164: (140.487, 169.396) indice: 164
Punto 165: (140.852, 191.352) indice: 165
Punto 166: (140.898, 46.5544) indice: 166
Punto 167: (141.254, 3.08677) indice: 167
Punto 168: (141.714, 45.9416) indice: 168
Punto 169: (141.905, 4.59203) indice: 169
Punto 170: (142.167, 188.461) indice: 170
Punto 171: (142.225, 32.2937) indice: 171
Punto 172: (142.319, 3.98029) indice: 172
Punto 173: (142.321, 25.8513) indice: 173
Punto 174: (142.342, 45.6973) indice: 174
Punto 175: (142.377, 18.4497) indice: 175
Punto 176: (142.392, 155.539) indice: 176
Punto 177: (142.445, 282.691) indice: 177
Punto 178: (142.458, 286.78) indice: 178
Punto 179: (142.66, 33.9026) indice: 179
Punto 180: (142.685, 43.4272) indice: 180
Punto 181: (142.76, 203.325) indice: 181
Punto 182: (142.779, 2.50652) indice: 182
Punto 183: (142.846, 22.0972) indice: 183
Punto 184: (142.878, 292.268) indice: 184
Punto 185: (142.955, 67.3232) indice: 185
Punto 186: (143.099, 67.2754) indice: 186
Punto 187: (143.197, 169.912) indice: 187
Punto 188: (143.263, 172.67) indice: 188
Punto 189: (143.366, 2.89161) indice: 189
Punto 190: (143.567, 21.6013) indice: 190
Punto 191: (143.573, 196.758) indice: 191
Punto 192: (143.892, 286.145) indice: 192
Punto 193: (143.928, 29.4211) indice: 193
Punto 194: (143.991, 291.912) indice: 194
Punto 195: (144.01, 286.807) indice: 195
Punto 196: (144.205, 197.955) indice: 196
Punto 197: (144.234, 273.647) indice: 197
Punto 198: (144.306, 54.4649) indice: 198
Punto 199: (144.551, 269.284) indice: 199
Punto 200: (144.672, 9.17483) indice: 200
Punto 201: (144.723, 291.753) indice: 201
Punto 202: (145.049, 173.428) indice: 202
Punto 203: (145.171, 47.1474) indice: 203
Punto 204: (145.188, 47.6797) indice: 204
Punto 205: (145.3, 183.619) indice: 205
Punto 206: (145.323, 184.198) indice: 206
Punto 207: (145.451, 19.1161) indice: 207
Punto 208: (145.527, 189.308) indice: 208
Punto 209: (145.559, 17.3619) indice: 209
Punto 210: (145.588, 8.96103) indice: 210
Punto 211: (145.749, 65.8084) indice: 211
Punto 212: (145.857, 285.923) indice: 212
Punto 213: (145.883, 179.872) indice: 213
Punto 214: (146.047, 37.5761) indice: 214
Punto 215: (146.208, 16.3086) indice: 215
Punto 216: (146.507, 179.403) indice: 216
Punto 217: (146.545, 192.297) indice: 217
Punto 218: (146.607, 35.0895) indice: 218
Punto 219: (146.632, 179.307) indice: 219
Punto 220: (146.866, 59.779) indice: 220
Punto 221: (146.962, 52.4534) indice: 221
Punto 222: (147.083, 197.827) indice: 222
Punto 223: (147.196, 286.786) indice: 223
Punto 224: (147.212, 60.4709) indice: 224
Punto 225: (147.222, 173.673) indice: 225
Punto 226: (147.257, 26.0229) indice: 226
Punto 227: (147.439, 41.8108) indice: 227
Punto 228: (147.447, 38.5719) indice: 228
Punto 229: (147.469, 32.7271) indice: 229
Punto 230: (147.486, 196.193) indice: 230
Punto 231: (147.494, 164.218) indice: 231
Punto 232: (147.512, 36.87) indice: 232
Punto 233: (147.517, 22.58) indice: 233
Punto 234: (147.673, 184.976) indice: 234
Punto 235: (147.768, 182.107) indice: 235
Punto 236: (147.849, 53.7809) indice: 236
Punto 237: (147.951, 7.18427) indice: 237
Punto 238: (148.058, 198.13) indice: 238
Punto 239: (148.284, 30.929) indice: 239
Punto 240: (148.312, 29.2989) indice: 240
Punto 241: (148.475, 17.9833) indice: 241
Punto 242: (148.49, 194.579) indice: 242
Punto 243: (148.602, 46.9277) indice: 243
Punto 244: (148.62, 203.86) indice: 244
Punto 245: (148.672, 40.631) indice: 245
Punto 246: (148.681, 18.1124) indice: 246
Punto 247: (148.891, 65.0779) indice: 247
Punto 248: (148.908, 184.276) indice: 248
Punto 249: (148.943, 181.945) indice: 249
Punto 250: (148.999, 157.929) indice: 250
Punto 251: (149.185, 21.2693) indice: 251
Punto 252: (149.202, 78.2029) indice: 252
Punto 253: (149.522, 269.384) indice: 253
Punto 254: (149.738, 19.9599) indice: 254
Punto 255: (149.937, 9.74182) indice: 255
Punto 256: (149.952, 203.708) indice: 256
Punto 257: (15.3806, 42.5268) indice: 257
Punto 258: (15.5295, 90.6121) indice: 258
Punto 259: (15.5457, 208.929) indice: 259
Punto 260: (15.7473, 57.1389) indice: 260
Punto 261: (15.9835, 50.8342) indice: 261
Punto 262: (150.086, 190.756) indice: 262
Punto 263: (150.126, 271.945) indice: 263
Punto 264: (150.16, 286.531) indice: 264
Punto 265: (150.253, 61.5027) indice: 265
Punto 266: (150.322, 50.8961) indice: 266
Punto 267: (150.416, 63.1954) indice: 267
Punto 268: (150.495, 56.9073) indice: 268
Punto 269: (150.636, 276.923) indice: 269
Punto 270: (150.666, 292.706) indice: 270
Punto 271: (150.678, 269.734) indice: 271
Punto 272: (150.739, 22.7849) indice: 272
Punto 273: (150.895, 168.362) indice: 273
Punto 274: (151.077, 281.066) indice: 274
Punto 275: (151.107, 177.965) indice: 275
Punto 276: (151.306, 173.585) indice: 276
Punto 277: (151.319, 36.2565) indice: 277
Punto 278: (151.5, 63.2417) indice: 278
Punto 279: (151.551, 160.359) indice: 279
Punto 280: (151.771, 25.2261) indice: 280
Punto 281: (151.794, 60.299) indice: 281
Punto 282: (151.869, 279.292) indice: 282
Punto 283: (152.04, 189.972) indice: 283
Punto 284: (152.057, 180.442) indice: 284
Punto 285: (152.284, 61.4719) indice: 285
Punto 286: (152.287, 156.391) indice: 286
Punto 287: (152.29, 45.0542) indice: 287
Punto 288: (152.318, 178.109) indice: 288
Punto 289: (152.345, 37.5264) indice: 289
Punto 290: (152.384, 63.859) indice: 290
Punto 291: (152.432, 174.564) indice: 291
Punto 292: (152.786, 58.3382) indice: 292
Punto 293: (153.155, 163.602) indice: 293
Punto 294: (153.174, 161.053) indice: 294
Punto 295: (153.181, 169.287) indice: 295
Punto 296: (153.284, 148.717) indice: 296
Punto 297: (153.514, 278.717) indice: 297
Punto 298: (153.732, 180.076) indice: 298
Punto 299: (153.757, 30.4907) indice: 299
Punto 300: (153.841, 72.7133) indice: 300
Punto 301: (153.971, 207.599) indice: 301
Punto 302: (154.009, 30.279) indice: 302
Punto 303: (154.022, 203.306) indice: 303
Punto 304: (154.224, 273.571) indice: 304
Punto 305: (154.437, 54.0277) indice: 305
Punto 306: (154.46, 293.079) indice: 306
Punto 307: (154.584, 52.6346) indice: 307
Punto 308: (154.969, 184.482) indice: 308
Punto 309: (155.069, 161.392) indice: 309
Punto 310: (155.097, 158.426) indice: 310
Punto 311: (155.184, 61.5363) indice: 311
Punto 312: (155.346, 193.35) indice: 312
Punto 313: (155.372, 69.7734) indice: 313
Punto 314: (155.378, 173.056) indice: 314
Punto 315: (155.465, 61.6084) indice: 315
Punto 316: (155.515, 162.027) indice: 316
Punto 317: (155.578, 174.053) indice: 317
Punto 318: (155.766, 58.7399) indice: 318
Punto 319: (155.904, 155.332) indice: 319
Punto 320: (156.08, 211.21) indice: 320
Punto 321: (156.356, 78.0902) indice: 321
Punto 322: (156.402, 74.9896) indice: 322
Punto 323: (156.729, 157.774) indice: 323
Punto 324: (156.909, 168.31) indice: 324
Punto 325: (156.992, 77.1613) indice: 325
Punto 326: (157.046, 56.8062) indice: 326
Punto 327: (157.256, 294.22) indice: 327
Punto 328: (157.285, 64.3189) indice: 328
Punto 329: (157.382, 175.036) indice: 329
Punto 330: (157.424, 145.323) indice: 330
Punto 331: (157.448, 283.131) indice: 331
Punto 332: (157.543, 52.2861) indice: 332
Punto 333: (158.544, 152.637) indice: 333
Punto 334: (159.032, 157.056) indice: 334
Punto 335: (159.047, 164.081) indice: 335
Punto 336: (159.593, 158.688) indice: 336
Punto 337: (159.629, 287.335) indice: 337
Punto 338: (159.797, 174.984) indice: 338
Punto 339: (16.2975, 191.467) indice: 339
Punto 340: (16.399, 200.675) indice: 340
Punto 341: (16.4382, 9.48634) indice: 341
Punto 342: (16.6857, 42.4154) indice: 342
Punto 343: (160.161, 217.988) indice: 343
Punto 344: (160.389, 165.98) indice: 344
Punto 345: (160.433, 266.807) indice: 345
Punto 346: (160.753, 163) indice: 346
Punto 347: (161.533, 164.131) indice: 347
Punto 348: (162.25, 197.944) indice: 348
Punto 349: (162.257, 288.025) indice: 349
Punto 350: (162.267, 178.059) indice: 350
Punto 351: (163.27, 176.096) indice: 351
Punto 352: (163.286, 167.261) indice: 352
Punto 353: (163.393, 142.587) indice: 353
Punto 354: (164.026, 288.62) indice: 354
Punto 355: (164.043, 170.406) indice: 355
Punto 356: (164.206, 161.869) indice: 356
Punto 357: (164.222, 151.986) indice: 357
Punto 358: (164.421, 280.67) indice: 358
Punto 359: (164.454, 202.693) indice: 359
Punto 360: (165.163, 279.019) indice: 360
Punto 361: (165.554, 92.9603) indice: 361
Punto 362: (165.585, 285.487) indice: 362
Punto 363: (165.636, 151.03) indice: 363
Punto 364: (166.104, 181.006) indice: 364
Punto 365: (166.261, 282.178) indice: 365
Punto 366: (166.403, 139.476) indice: 366
Punto 367: (166.658, 198.053) indice: 367
Punto 368: (166.846, 138.668) indice: 368
Punto 369: (167.218, 149.067) indice: 369
Punto 370: (167.272, 215.57) indice: 370
Punto 371: (167.39, 159.061) indice: 371
Punto 372: (167.505, 210.928) indice: 372
Punto 373: (167.701, 161.197) indice: 373
Punto 374: (167.941, 178.767) indice: 374
Punto 375: (167.958, 292.19) indice: 375
Punto 376: (168.052, 179.187) indice: 376
Punto 377: (168.305, 159.578) indice: 377
Punto 378: (168.311, 184.497) indice: 378
Punto 379: (168.415, 102.256) indice: 379
Punto 380: (169.042, 161.243) indice: 380
Punto 381: (169.297, 285.776) indice: 381
Punto 382: (17.007, 201.631) indice: 382
Punto 383: (17.1207, 210.15) indice: 383
Punto 384: (17.2145, 202.485) indice: 384
Punto 385: (17.7676, 43.0054) indice: 385
Punto 386: (170.481, 285.757) indice: 386
Punto 387: (170.822, 192.157) indice: 387
Punto 388: (171.412, 214.033) indice: 388
Punto 389: (171.468, 194.819) indice: 389
Punto 390: (171.593, 291.79) indice: 390
Punto 391: (172.008, 176.415) indice: 391
Punto 392: (172.365, 165.252) indice: 392
Punto 393: (172.813, 169.548) indice: 393
Punto 394: (172.825, 151.223) indice: 394
Punto 395: (173.02, 175.527) indice: 395
Punto 396: (173.689, 178.029) indice: 396
Punto 397: (174.208, 219.715) indice: 397
Punto 398: (174.237, 144.704) indice: 398
Punto 399: (174.592, 153.276) indice: 399
Punto 400: (174.692, 148.319) indice: 400
Punto 401: (175.176, 279.208) indice: 401
Punto 402: (175.213, 147.332) indice: 402
Punto 403: (175.225, 153.635) indice: 403
Punto 404: (175.284, 288.976) indice: 404
Punto 405: (175.646, 161.094) indice: 405
Punto 406: (175.664, 218.168) indice: 406
Punto 407: (175.741, 266.173) indice: 407
Punto 408: (175.792, 137.423) indice: 408
Punto 409: (175.89, 262.374) indice: 409
Punto 410: (176.108, 215.891) indice: 410
Punto 411: (176.227, 145.941) indice: 411
Punto 412: (176.32, 163.59) indice: 412
Punto 413: (176.333, 198.961) indice: 413
Punto 414: (176.375, 176.581) indice: 414
Punto 415: (176.46, 204.486) indice: 415
Punto 416: (176.69, 113.192) indice: 416
Punto 417: (176.733, 275.332) indice: 417
Punto 418: (176.832, 160.785) indice: 418
Punto 419: (176.914, 199.058) indice: 419
Punto 420: (177.214, 117.352) indice: 420
Punto 421: (177.477, 96.9317) indice: 421
Punto 422: (177.628, 189.45) indice: 422
Punto 423: (177.634, 195.804) indice: 423
Punto 424: (177.739, 213.243) indice: 424
Punto 425: (177.787, 104.538) indice: 425
Punto 426: (178.007, 138.511) indice: 426
Punto 427: (178.243, 200.758) indice: 427
Punto 428: (178.296, 207.926) indice: 428
Punto 429: (178.508, 186.313) indice: 429
Punto 430: (178.646, 166.979) indice: 430
Punto 431: (178.759, 282.374) indice: 431
Punto 432: (178.781, 104.584) indice: 432
Punto 433: (179.318, 195.82) indice: 433
Punto 434: (179.656, 211.606) indice: 434
Punto 435: (179.697, 282.458) indice: 435
Punto 436: (179.777, 146.971) indice: 436
Punto 437: (179.828, 201.818) indice: 437
Punto 438: (179.929, 209.943) indice: 438
Punto 439: (18.0528, 50.3253) indice: 439
Punto 440: (18.2611, 113.363) indice: 440
Punto 441: (18.4609, 197.947) indice: 441
Punto 442: (18.5357, 215.004) indice: 442
Punto 443: (18.7097, 198.861) indice: 443
Punto 444: (18.8285, 35.3276) indice: 444
Punto 445: (180.349, 187.011) indice: 445
Punto 446: (180.488, 133.734) indice: 446
Punto 447: (180.618, 274.775) indice: 447
Punto 448: (181.06, 183.653) indice: 448
Punto 449: (181.765, 195.867) indice: 449
Punto 450: (181.779, 192.613) indice: 450
Punto 451: (182.085, 97.4324) indice: 451
Punto 452: (182.185, 214.02) indice: 452
Punto 453: (182.274, 135.587) indice: 453
Punto 454: (182.314, 88.8814) indice: 454
Punto 455: (182.378, 208.274) indice: 455
Punto 456: (182.388, 197.323) indice: 456
Punto 457: (182.406, 167.133) indice: 457
Punto 458: (182.775, 211.592) indice: 458
Punto 459: (182.83, 266.18) indice: 459
Punto 460: (183.121, 154.362) indice: 460
Punto 461: (183.389, 207.136) indice: 461
Punto 462: (183.451, 188.02) indice: 462
Punto 463: (183.467, 208.584) indice: 463
Punto 464: (183.726, 182.665) indice: 464
Punto 465: (183.91, 278.641) indice: 465
Punto 466: (184.219, 144.246) indice: 466
Punto 467: (184.489, 194.372) indice: 467
Punto 468: (184.617, 266.936) indice: 468
Punto 469: (184.636, 271.232) indice: 469
Punto 470: (184.83, 157.415) indice: 470
Punto 471: (185.207, 287.331) indice: 471
Punto 472: (185.283, 186.247) indice: 472
Punto 473: (185.336, 200.464) indice: 473
Punto 474: (185.574, 195.529) indice: 474
Punto 475: (185.995, 183.879) indice: 475
Punto 476: (186.001, 88.3336) indice: 476
Punto 477: (186.052, 182.043) indice: 477
Punto 478: (186.452, 147.991) indice: 478
Punto 479: (186.774, 103.149) indice: 479
Punto 480: (186.976, 285.698) indice: 480
Punto 481: (187.072, 217.926) indice: 481
Punto 482: (187.523, 273.698) indice: 482
Punto 483: (187.595, 86.5506) indice: 483
Punto 484: (187.752, 274.899) indice: 484
Punto 485: (187.799, 76.8193) indice: 485
Punto 486: (187.805, 283.971) indice: 486
Punto 487: (187.943, 99.9635) indice: 487
Punto 488: (188.13, 101.75) indice: 488
Punto 489: (188.16, 271.635) indice: 489
Punto 490: (188.23, 194.949) indice: 490
Punto 491: (188.232, 108.216) indice: 491
Punto 492: (188.668, 123.816) indice: 492
Punto 493: (188.835, 79.5238) indice: 493
Punto 494: (188.928, 200.561) indice: 494
Punto 495: (188.994, 146.978) indice: 495
Punto 496: (189.074, 91.3006) indice: 496
Punto 497: (189.436, 173.713) indice: 497
Punto 498: (19.3854, 40.1583) indice: 498
Punto 499: (19.9726, 213.328) indice: 499
Punto 500: (190.306, 292.466) indice: 500
Punto 501: (190.383, 197.101) indice: 501
Punto 502: (190.449, 274.897) indice: 502
Punto 503: (190.512, 84.9236) indice: 503
Punto 504: (190.681, 77.9732) indice: 504
Punto 505: (190.791, 171.572) indice: 505
Punto 506: (190.796, 120.748) indice: 506
Punto 507: (191.374, 113.867) indice: 507
Punto 508: (191.462, 195.806) indice: 508
Punto 509: (191.503, 291.961) indice: 509
Punto 510: (191.531, 216.322) indice: 510
Punto 511: (191.606, 106.928) indice: 511
Punto 512: (191.8, 266.472) indice: 512
Punto 513: (192.094, 169.77) indice: 513
Punto 514: (192.222, 114.371) indice: 514
Punto 515: (192.355, 86.2745) indice: 515
Punto 516: (192.376, 195.538) indice: 516
Punto 517: (192.51, 139.846) indice: 517
Punto 518: (192.67, 274.777) indice: 518
Punto 519: (193.141, 104.174) indice: 519
Punto 520: (193.144, 216.845) indice: 520
Punto 521: (193.31, 287.023) indice: 521
Punto 522: (193.362, 194.827) indice: 522
Punto 523: (193.447, 84.5282) indice: 523
Punto 524: (193.465, 89.594) indice: 524
Punto 525: (193.505, 271.972) indice: 525
Punto 526: (193.548, 86.6404) indice: 526
Punto 527: (193.636, 285.443) indice: 527
Punto 528: (193.793, 202.562) indice: 528
Punto 529: (193.868, 96.0498) indice: 529
Punto 530: (194.005, 115.99) indice: 530
Punto 531: (194.573, 93.9761) indice: 531
Punto 532: (194.732, 87.3969) indice: 532
Punto 533: (195.235, 101.911) indice: 533
Punto 534: (195.366, 283.174) indice: 534
Punto 535: (195.382, 220.087) indice: 535
Punto 536: (195.456, 92.3443) indice: 536
Punto 537: (195.502, 92.4672) indice: 537
Punto 538: (195.679, 292.608) indice: 538
Punto 539: (195.684, 110.38) indice: 539
Punto 540: (195.693, 208.232) indice: 540
Punto 541: (195.7, 84.4059) indice: 541
Punto 542: (195.922, 196.154) indice: 542
Punto 543: (195.951, 282.374) indice: 543
Punto 544: (196.202, 204.461) indice: 544
Punto 545: (196.25, 90.7362) indice: 545
Punto 546: (196.285, 178.01) indice: 546
Punto 547: (196.3, 283.679) indice: 547
Punto 548: (196.5, 193.309) indice: 548
Punto 549: (196.694, 295.099) indice: 549
Punto 550: (196.744, 125.576) indice: 550
Punto 551: (196.996, 204.589) indice: 551
Punto 552: (197.021, 87.8298) indice: 552
Punto 553: (197.276, 115.815) indice: 553
Punto 554: (197.43, 122.118) indice: 554
Punto 555: (197.561, 291.939) indice: 555
Punto 556: (197.629, 217.432) indice: 556
Punto 557: (198.196, 101.272) indice: 557
Punto 558: (198.368, 106.249) indice: 558
Punto 559: (198.456, 21.3995) indice: 559
Punto 560: (198.584, 208.792) indice: 560
Punto 561: (199.048, 188.501) indice: 561
Punto 562: (199.176, 90.2365) indice: 562
Punto 563: (199.245, 85.0764) indice: 563
Punto 564: (199.253, 119.297) indice: 564
Punto 565: (199.314, 19.243) indice: 565
Punto 566: (199.37, 93.4128) indice: 566
Punto 567: (199.56, 22.8392) indice: 567
Punto 568: (199.78, 284.021) indice: 568
Punto 569: (199.837, 35.7609) indice: 569
Punto 570: (199.997, 275.939) indice: 570
Punto 571: (2.13061, 222.624) indice: 571
Punto 572: (20.2232, 201.534) indice: 572
Punto 573: (20.4656, 30.505) indice: 573
Punto 574: (20.6167, 195.681) indice: 574
Punto 575: (20.8087, 220.973) indice: 575
Punto 576: (200.06, 210.314) indice: 576
Punto 577: (200.097, 87.9472) indice: 577
Punto 578: (200.112, 117.148) indice: 578
Punto 579: (200.272, 26.272) indice: 579
Punto 580: (200.277, 295.009) indice: 580
Punto 581: (200.404, 281.997) indice: 581
Punto 582: (200.516, 103.582) indice: 582
Punto 583: (200.85, 204.997) indice: 583
Punto 584: (200.872, 288.486) indice: 584
Punto 585: (200.954, 88.268) indice: 585
Punto 586: (201.03, 44.9632) indice: 586
Punto 587: (201.08, 21.206) indice: 587
Punto 588: (201.557, 263.328) indice: 588
Punto 589: (201.684, 286.077) indice: 589
Punto 590: (201.808, 202.672) indice: 590
Punto 591: (202, 42.0164) indice: 591
Punto 592: (202.035, 116.997) indice: 592
Punto 593: (202.101, 22.0114) indice: 593
Punto 594: (202.186, 108.858) indice: 594
Punto 595: (202.407, 121.877) indice: 595
Punto 596: (202.463, 295.019) indice: 596
Punto 597: (202.52, 100.305) indice: 597
Punto 598: (202.593, 282.968) indice: 598
Punto 599: (202.808, 263.552) indice: 599
Punto 600: (202.952, 91.7842) indice: 600
Punto 601: (203.22, 47.846) indice: 601
Punto 602: (203.289, 110.344) indice: 602
Punto 603: (203.293, 55.0547) indice: 603
Punto 604: (203.337, 102.657) indice: 604
Punto 605: (203.351, 23.7699) indice: 605
Punto 606: (203.393, 115.268) indice: 606
Punto 607: (203.421, 99.9182) indice: 607
Punto 608: (203.765, 291.535) indice: 608
Punto 609: (203.815, 13.3022) indice: 609
Punto 610: (203.954, 18.4912) indice: 610
Punto 611: (204.479, 23.4407) indice: 611
Punto 612: (204.525, 296.064) indice: 612
Punto 613: (204.537, 118.556) indice: 613
Punto 614: (204.607, 97.7693) indice: 614
Punto 615: (204.831, 292.866) indice: 615
Punto 616: (204.917, 20.0731) indice: 616
Punto 617: (204.991, 293.769) indice: 617
Punto 618: (205.085, 30.5517) indice: 618
Punto 619: (205.528, 283.395) indice: 619
Punto 620: (205.549, 277.515) indice: 620
Punto 621: (205.552, 90.4472) indice: 621
